customer_id,Total_Spending_2022_2023,Average_Daily_Spending_2022_2023,Actual_Lifetime_2022_2023(days),Total_Spending_2023_2024,Average_Daily_Spending_2023_2024,Actual_Lifetime_2023_2024(days),LTV_2022_2023($),LTV_2023_2024($)
557,,,,8.8,8.8,1.0,,951.7181692094315
559,5.1,5.1,1.0,139.7,0.5098540145985401,274.0,570.2204268292681,55.14060560656833
567,4.9,4.9,1.0,,,,547.8588414634146,
569,9.2,9.2,1.0,,,,1028.6329268292682,
573,102.2,0.3512027491408935,291.0,28.8,0.09142857142857143,315.0,39.26725127818288,9.887980978799288
575,96.2,0.38480000000000003,250.0,,,,43.023690243902436,
578,111.80000000000001,0.44015748031496066,254.0,160.2,0.48108108108108105,333.0,49.213095352410214,52.02881883270233
585,64.0,0.4413793103448276,145.0,294.6,1.0020408163265306,294.0,49.34970563498738,108.37050581675112
592,13.5,0.06136363636363636,220.0,,,,6.860940964523281,
593,254.0,0.8141025641025641,312.0,36.1,0.10284900284900285,351.0,91.02311991869918,11.123098260962339
596,9.399999999999999,9.399999999999999,1.0,68.8,0.8935064935064935,77.0,1050.9945121951216,96.63254138372031
598,50.1,1.473529411764706,34.0,178.89999999999998,0.7986607142857142,224.0,164.75226865136298,86.37499009312462
603,6.0,6.0,1.0,,,,670.8475609756097,
605,,,,4.5,4.5,1.0,,486.6740638002774
607,17.3,17.3,1.0,,,,1934.2771341463413,
613,1032.7,2.8606648199445983,361.0,552.1999999999999,1.9443661971830983,284.0,319.8450028714276,210.28279971088665
614,4.4,4.4,1.0,,,,491.9548780487805,
617,17.6,17.6,1.0,44.2,0.7892857142857144,56.0,1967.819512195122,85.36108579354072
618,,,,50.9,0.34863013698630135,146.0,,37.70427678452682
620,999.4,2.799439775910364,357.0,909.0,2.525,360.0,312.99955762792916,273.0782246879334
622,16.0,16.0,1.0,,,,1788.9268292682925,
632,669.3000000000001,2.506741573033708,267.0,709.4,3.427053140096618,207.0,280.2735783776377,370.6350841222939
638,564.9,1.5779329608938546,358.0,795.6,2.1917355371900826,363.0,176.42541303311074,237.03574236884035
642,56.0,0.22134387351778656,253.0,157.2,0.5222591362126245,301.0,24.74799961438349,56.482216928315694
645,38.7,38.7,1.0,,,,4326.966768292683,
651,1954.2,5.504788732394366,355.0,837.9,2.4216763005780346,346.0,615.4790158021298,261.90378809136314
652,,,,5.4,5.4,1.0,,584.008876560333
657,5.0,5.0,1.0,,,,559.0396341463414,
658,14.7,0.24098360655737705,61.0,,,,26.94387744902039,
659,18.6,1.3285714285714287,14.0,,,,148.54481707317075,
663,54.400000000000006,0.17106918238993712,318.0,34.2,0.36000000000000004,95.0,19.12689062739684,38.9339251040222
666,42.4,0.36551724137931035,116.0,109.7,109.7,1.0,40.867724978973925,11864.032177531208
667,22.2,0.07302631578947368,304.0,16.9,0.17244897959183672,98.0,8.164920972400513,18.650321265815617
670,706.2,2.017714285714286,350.0,889.8,2.492436974789916,357.0,225.59645121951218,269.5565402860173
673,13.3,0.20461538461538462,65.0,33.4,0.11322033898305084,295.0,22.87762195121951,12.244756106161404
674,28.8,9.6,3.0,,,,1073.3560975609755,
675,463.6,1.5662162162162163,296.0,81.10000000000001,0.5963235294117648,136.0,175.11538810151615,64.49226564412174
681,31.9,1.1814814814814814,27.0,,,,132.09899503161697,
684,12.3,12.3,1.0,,,,1375.2375,
688,780.7,2.282748538011696,342.0,239.7,0.6848571428571428,350.0,255.22938150763085,74.06715751931841
691,52.5,0.173841059602649,302.0,43.6,2.725,16.0,19.436808471975446,294.7081830790569
692,191.8,2.040425531914894,94.0,,,,228.13574857291127,
693,9.5,9.5,1.0,,,,1062.1753048780488,
695,,,,37.1,0.3467289719626168,107.0,,37.49866618274204
696,174.6,0.6235714285714286,280.0,40.9,1.9476190476190476,21.0,69.72022865853658,210.63459480879732
698,37.1,1.855,20.0,,,,207.40370426829267,
704,29.900000000000002,29.900000000000002,1.0,50.2,0.28685714285714287,175.0,3343.057012195122,31.023540320982764
705,100.0,0.4784688995215311,209.0,23.0,23.0,1.0,53.49661570778387,2487.4452149791955
709,,,,9.5,9.5,1.0,,1027.4230235783634
711,25.4,25.4,1.0,,,,2839.921341463414,
716,17.0,17.0,1.0,45.4,0.5973684210526315,76.0,1900.7347560975609,64.60527045769764
718,20.8,0.13506493506493508,154.0,,,,15.101330376940133,
719,57.6,57.6,1.0,,,,6440.1365853658535,
720,10.0,0.034129692832764506,293.0,10.399999999999999,0.04126984126984126,252.0,3.815970198951136,4.463324747374678
721,669.5,1.8966005665722379,353.0,569.3,1.5813888888888887,360.0,212.05497737165754,171.02687933425796
725,30.7,1.2791666666666666,24.0,148.6,0.7659793814432989,194.0,143.02097306910568,82.84051074538513
727,173.9,0.679296875,256.0,,,,75.95077529535061,
739,,,,17.0,17.0,1.0,,1838.5464632454925
740,29.8,29.8,1.0,,,,3331.876219512195,
744,659.4,2.0042553191489363,329.0,980.4,2.793162393162393,351.0,224.09163207057603,302.07993171876666
747,,,,30.1,30.1,1.0,,3255.308737864078
753,33.5,33.5,1.0,223.3,0.9382352941176471,238.0,3745.5655487804875,101.46995186424084
754,1448.2,3.9785714285714286,364.0,1008.5,2.7706043956043955,364.0,444.83582317073166,299.6402889759339
756,17.0,17.0,1.0,43.1,43.1,1.0,1900.7347560975609,4661.256033287102
757,,,,117.8,117.8,1.0,,12740.045492371706
758,,,,11.2,11.2,1.0,,1211.2776699029125
764,164.79999999999998,0.6195488721804511,266.0,106.1,0.3411575562700964,311.0,69.27047496790756,36.896118734697694
771,102.8,0.34965986394557824,294.0,44.5,0.1545138888888889,288.0,39.09474448315912,16.710644937586686
775,11.4,11.4,1.0,,,,1274.6103658536585,
779,45.0,0.42452830188679247,106.0,21.4,0.25176470588235295,85.0,47.46562931431201,27.228300562943627
780,6.0,6.0,1.0,4.8,4.8,1.0,670.8475609756097,519.1190013869625
781,5.5,5.5,1.0,19.4,0.08398268398268398,231.0,614.9435975609756,9.082709800601618
782,74.4,5.723076923076923,13.0,,,,639.8853658536585,
785,9.9,0.14776119402985075,67.0,5.3,5.3,1.0,16.520872770294865,573.1938973647711
788,57.6,0.2206896551724138,261.0,39.9,39.9,1.0,24.67485281749369,4315.176699029126
790,,,,128.4,21.400000000000002,6.0,,2314.405547850208
791,888.6,2.447933884297521,363.0,489.8,1.462089552238806,335.0,273.69841261842373,158.12468089510838
795,23.9,0.26853932584269663,89.0,,,,30.024825294601257,
797,76.2,0.23664596273291927,322.0,,,,26.458894485683988,
799,5.1,5.1,1.0,,,,570.2204268292681,
802,64.8,1.1368421052631579,57.0,,,,127.10795892169446,
806,101.9,0.32870967741935486,310.0,,,,36.75234756097561,
807,5.0,5.0,1.0,,,,559.0396341463414,
809,68.0,0.425,160.0,34.9,0.9184210526315789,38.0,47.51836890243902,99.32704576976421
810,164.9,0.45805555555555555,360.0,,,,51.214242039295385,
811,387.6,1.4626415094339624,265.0,586.2,1.6420168067226892,357.0,163.53491486424298,177.58377603468574
812,53.6,0.25402843601895736,211.0,96.6,1.2384615384615383,78.0,28.402392786961045,133.93935772964898
814,96.6,0.7155555555555555,135.0,,,,80.00478319783197,
826,299.3,0.8478753541076488,353.0,20.2,20.2,1.0,94.79918555240793,2184.6257975034673
828,80.5,0.25967741935483873,310.0,267.2,1.012121212121212,264.0,29.033993902439025,109.46069852477619
829,13.200000000000001,0.08354430379746836,158.0,,,,9.340915405989502,
830,453.2,1.2659217877094973,358.0,414.40000000000003,1.167323943661972,355.0,141.54009061179997,126.24584165185288
831,21.9,21.9,1.0,,,,2448.593597560975,
832,43.400000000000006,0.6676923076923078,65.0,,,,74.65329268292683,
833,,,,122.9,122.9,1.0,,13291.609431345354
834,33.1,0.45972222222222225,72.0,,,,51.40058858401084,
835,5.0,5.0,1.0,,,,559.0396341463414,
839,1256.4,3.9018633540372676,322.0,,,,436.2592523860021,
841,159.5,0.7595238095238095,210.0,173.9,0.9937142857142858,175.0,84.92078252032519,107.46999326332475
844,46.5,1.6607142857142858,28.0,,,,185.6810213414634,
846,84.6,0.2459302325581395,344.0,119.0,0.5151515151515151,231.0,27.496949446965395,55.71352918925734
847,173.20000000000002,1.9244444444444446,90.0,9.2,9.2,1.0,215.16814363143632,994.9780859916782
857,733.9,2.0557422969187673,357.0,410.5,1.1277472527472527,364.0,229.84828431372546,121.96563076313423
860,212.9,0.643202416918429,331.0,211.79999999999998,1.5688888888888888,135.0,71.91512876722423,169.67500693481276
861,1560.6,4.335,360.0,1909.8999999999999,5.2905817174515235,361.0,484.687362804878,572.1753120665742
